Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
02/06/2021,Mexico,3027,2438154,105,235180
03/06/2021,Mexico,2785,2440939,94,235274
04/06/2021,Mexico,2784,2443723,91,235365
05/06/2021,Mexico,2642,2446365,67,235432
06/06/2021,Mexico,2756,2449121,90,235522
07/06/2021,Mexico,1357,2450478,99,235621
08/06/2021,Mexico,843,2451321,86,235707
09/06/2021,Mexico,3675,2454996,104,235811
10/06/2021,Mexico,3583,2458579,101,235912
11/06/2021,Mexico,3367,2461946,93,236005
12/06/2021,Mexico,3245,2465191,83,236088
13/06/2021,Mexico,3249,2468440,113,236201
14/06/2021,Mexico,1714,2470154,75,236276
15/06/2021,Mexico,1099,2471253,83,236359
16/06/2021,Mexico,4157,2475410,99,236458
17/06/2021,Mexico,3849,2479259,96,236554
18/06/2021,Mexico,3917,2483176,94,236648
19/06/2021,Mexico,3915,2487091,102,236750
20/06/2021,Mexico,3942,2491033,97,236847
21/06/2021,Mexico,2062,2493095,91,236938
22/06/2021,Mexico,1275,2494370,116,237054
23/06/2021,Mexico,5250,2499620,109,237163
24/06/2021,Mexico,5142,2504762,102,237265
25/06/2021,Mexico,5280,2510042,104,237369
26/06/2021,Mexico,5295,2515337,100,237469
27/06/2021,Mexico,5175,2520512,111,237580
28/06/2021,Mexico,2749,2523261,107,237687
29/06/2021,Mexico,1697,2524958,114,237801
30/06/2021,Mexico,6903,2531861,127,237928
01/07/2021,Mexico,6370,2538231,127,238055
02/07/2021,Mexico,6177,2544408,129,238184
03/07/2021,Mexico,6416,2550824,140,238324
04/07/2021,Mexico,6675,2557499,131,238455
05/07/2021,Mexico,3461,2560960,116,238571
06/07/2021,Mexico,2255,2563215,154,238725
07/07/2021,Mexico,9170,2572385,143,238868
08/07/2021,Mexico,9203,2581588,172,239040
09/07/2021,Mexico,9922,2591510,163,239203
10/07/2021,Mexico,9916,2601426,148,239351
11/07/2021,Mexico,10399,2611825,148,239499
12/07/2021,Mexico,5306,2617131,154,239653
13/07/2021,Mexico,3508,2620639,175,239828
14/07/2021,Mexico,13789,2634428,215,240043
15/07/2021,Mexico,13810,2648238,177,240220
16/07/2021,Mexico,13746,2661984,216,240436
17/07/2021,Mexico,13401,2675385,219,240655
18/07/2021,Mexico,13921,2689306,229,240884
19/07/2021,Mexico,6894,2696200,240,241124
20/07/2021,Mexico,4672,2700872,253,241377
21/07/2021,Mexico,17956,2718828,289,241666
22/07/2021,Mexico,18067,2736895,313,241979
23/07/2021,Mexico,17714,2754609,327,242306
24/07/2021,Mexico,18629,2773238,293,242599
25/07/2021,Mexico,17802,2791040,359,242958
26/07/2021,Mexico,8711,2799751,327,243285
27/07/2021,Mexico,6374,2806125,387,243672
28/07/2021,Mexico,22512,2828637,434,244106
29/07/2021,Mexico,21867,2850504,434,244540
30/07/2021,Mexico,20421,2870925,455,244995
31/07/2021,Mexico,21107,2892032,460,245455
01/08/2021,Mexico,19823,2911855,504,245959
02/08/2021,Mexico,9347,2921202,517,246476
03/08/2021,Mexico,7279,2928481,554,247030
04/08/2021,Mexico,23319,2951800,613,247643
05/08/2021,Mexico,22710,2974510,551,248194
06/08/2021,Mexico,21445,2995955,562,248756
07/08/2021,Mexico,21687,3017642,601,249357
08/08/2021,Mexico,21002,3038644,602,249959
09/08/2021,Mexico,10018,3048662,607,250566
10/08/2021,Mexico,7533,3056195,622,251188
11/08/2021,Mexico,25329,3081524,719,251907
12/08/2021,Mexico,24420,3105944,691,252598
13/08/2021,Mexico,22901,3128845,681,253279
14/08/2021,Mexico,22030,3150875,683,253962
15/08/2021,Mexico,21307,3172182,685,254647
16/08/2021,Mexico,9425,3181607,702,255349
17/08/2021,Mexico,6758,3188365,733,256082
18/08/2021,Mexico,24075,3212440,769,256851
19/08/2021,Mexico,21653,3234093,722,257573
20/08/2021,Mexico,20743,3254836,837,258410
21/08/2021,Mexico,18816,3273652,732,259142
22/08/2021,Mexico,17867,3291519,732,259874
23/08/2021,Mexico,7640,3299159,787,260661
24/08/2021,Mexico,5877,3305036,697,261358
25/08/2021,Mexico,21055,3326091,823,262181
26/08/2021,Mexico,18597,3344688,772,262953
27/08/2021,Mexico,17050,3361738,716,263669
28/08/2021,Mexico,16107,3377845,748,264417
29/08/2021,Mexico,15632,3393477,697,265114
30/08/2021,Mexico,7022,3400499,708,265822
31/08/2021,Mexico,4785,3405284,725,266547
01/09/2021,Mexico,17577,3422861,706,267253
02/09/2021,Mexico,15451,3438312,722,267975
03/09/2021,Mexico,14480,3452792,666,268641
04/09/2021,Mexico,13680,3466472,655,269296
05/09/2021,Mexico,13237,3479709,657,269953
06/09/2021,Mexico,6377,3486086,615,270568
07/09/2021,Mexico,4178,3490264,657,271225
08/09/2021,Mexico,15816,3506080,632,271857
09/09/2021,Mexico,13152,3519232,631,272488
10/09/2021,Mexico,11974,3531206,583,273071
11/09/2021,Mexico,11801,3543007,600,273671
12/09/2021,Mexico,11528,3554535,588,274259
13/09/2021,Mexico,5111,3559646,531,274790
14/09/2021,Mexico,3690,3563336,560,275350
15/09/2021,Mexico,13528,3576864,564,275914
16/09/2021,Mexico,11361,3588225,527,276441
17/09/2021,Mexico,7358,3595583,514,276955
18/09/2021,Mexico,3788,3599371,489,277444
19/09/2021,Mexico,11427,3610798,515,277959
20/09/2021,Mexico,4593,3615391,465,278424
21/09/2021,Mexico,3180,3618571,448,278872
22/09/2021,Mexico,12265,3630836,502,279374
23/09/2021,Mexico,9860,3640696,501,279875
24/09/2021,Mexico,9575,3650271,439,280314
25/09/2021,Mexico,8523,3658794,414,280728
26/09/2021,Mexico,8337,3667131,416,281144
27/09/2021,Mexico,3727,3670858,376,281520
28/09/2021,Mexico,2684,3673542,394,281914
29/09/2021,Mexico,9974,3683516,398,282312
30/09/2021,Mexico,7510,3691026,403,282715
01/10/2021,Mexico,7036,3698062,376,283091
02/10/2021,Mexico,6153,3704215,353,283444
